Manufacturer,UPC,ISIS SKU,Part Name,Category,Bullet Point 1,Bullet Point 2,Bullet Point 3,Bullet Point 4,Bullet Point 5,Description 1,Description 2,Description 3,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Instructions,T_Product Family,T_Cap Type,T_Feed Type,T_Filler Type,T_Inlet Type,T_Type,Capacity,Color,T_Foam/No Foam,Sending Unit,Size,Material,OHM Rating,Length,Width,Depth,T_Make
JAZ,,JAZ200-008-01,Fuel Cell,Fuel Systems.Fuel Cells,Seamless cross linked polyethylene outer shell,D-Ring bail handle cap assembly,One mil spec. anodized AN-8 outlet fitting,One mil spec. anodized AN-8 vent fitting,360 degree mounting strap recesses,Seamless cross linked polyethylene outer shell.  Available with or without aviation safety foam.  Available in natural colored material for a nominal fee.  D-ring bail handle cap assembly.  One mil spec. anodized AN-8 outlet fitting.  Pickup hose routed to right rear corner.  One mil spec. anodized AN-8 vent fitting.  360 degree mounting strap recesses.  One AN-8 tip over vent.,|,,20000801.jpg,,,,,,,,,Circle Track,,,,,,8 Gallon,Black,w/Foam,,,,,20'',15'',7.5'',
JAZ,,JAZ200-008-05,Fuel Cell,Fuel Systems.Fuel Cells,Seamless cross linked polyethylene outer shell,D-Ring bail handle cap assembly,One mil spec. anodized AN-8 outlet fitting,One mil spec. anodized AN-8 vent fitting,360 degree mounting strap recesses,Seamless cross linked polyethylene outer shell.  Available with or without aviation safety foam.  Available in natural colored material for a nominal fee.  D-ring bail handle cap assembly.  One mil spec. anodized AN-8 outlet fitting.  Pickup hose routed to right rear corner.  One mil spec. anodized AN-8 vent fitting.  360 degree mounting strap recesses.  One AN-8 tip over vent.,|,,20000801.jpg,,,,,,,,,Circle Track,,,,,,8 Gallon,Natural,w/Foam,,,,,20'',15'',7.5'',
JAZ,,JAZ200-008-NF,Fuel Cell,Fuel Systems.Fuel Cells,Seamless cross linked polyethylene outer shell,D-Ring bail handle cap assembly,One mil spec. anodized AN-8 outlet fitting,One mil spec. anodized AN-8 vent fitting,360 degree mounting strap recesses,Seamless cross linked polyethylene outer shell.  Available with or without aviation safety foam.  Available in natural colored material for a nominal fee.  D-ring bail handle cap assembly.  One mil spec. anodized AN-8 outlet fitting.  Pickup hose routed to right rear corner.  One mil spec. anodized AN-8 vent fitting.  360 degree mounting strap recesses.  One AN-8 tip over vent.,|,,20000801.jpg,,,,,,,,,Circle Track,,,,,,8 Gallon,Black,No Foam,,,,,20'',15'',7.5'',
JAZ,,JAZ200-008-NF5,Fuel Cell,Fuel Systems.Fuel Cells,Seamless cross linked polyethylene outer shell,D-Ring bail handle cap assembly,One mil spec. anodized AN-8 outlet fitting,One mil spec. anodized AN-8 vent fitting,360 degree mounting strap recesses,Seamless cross linked polyethylene outer shell.  Available with or without aviation safety foam.  Available in natural colored material for a nominal fee.  D-ring bail handle cap assembly.  One mil spec. anodized AN-8 outlet fitting.  Pickup hose routed to right rear corner.  One mil spec. anodized AN-8 vent fitting.  360 degree mounting strap recesses.  One AN-8 tip over vent.,|,,20000801.jpg,,,,,,,,,Circle Track,,,,,,8 Gallon,Natural,No Foam,,,,,20'',15'',7.5'',
JAZ,,JAZ200-010-01,Fuel Cell,Fuel Systems.Fuel Cells,Seamless cross linked polyethylene outer shell,D-Ring bail handle cap assembly,One mil spec. anodized AN-8 outlet fitting,One mil spec. anodized AN-8 vent fitting,360 degree mounting strap recesses,Seamless cross linked polyethylene outer shell.  Available with or without aviation safety foam.  Available in natural colored material for a nominal fee.  D-ring bail handle cap assembly.  One mil spec. anodized AN-8 outlet fitting.  Pickup hose routed to right rear corner.  One mil spec. anodized AN-8 vent fitting.  360 degree mounting strap recesses.  One AN-8 tip over vent.,|,,20000801.jpg,,,,,,,,,Circle Track,,,,,,10 Gallon,Black,w/Foam,,,,,25'',9'',12'',
JAZ,,JAZ200-010-05,Fuel Cell,Fuel Systems.Fuel Cells,Seamless cross linked polyethylene outer shell,D-Ring bail handle cap assembly,One mil spec. anodized AN-8 outlet fitting,One mil spec. anodized AN-8 vent fitting,360 degree mounting strap recesses,Seamless cross linked polyethylene outer shell.  Available with or without aviation safety foam.  Available in natural colored material for a nominal fee.  D-ring bail handle cap assembly.  One mil spec. anodized AN-8 outlet fitting.  Pickup hose routed to right rear corner.  One mil spec. anodized AN-8 vent fitting.  360 degree mounting strap recesses.  One AN-8 tip over vent.,|,,20000801.jpg,,,,,,,,,Circle Track,,,,,,10 Gallon,Natural,w/Foam,,,,,25'',9'',12'',
JAZ,,JAZ200-010-NF,Fuel Cell,Fuel Systems.Fuel Cells,Seamless cross linked polyethylene outer shell,D-Ring bail handle cap assembly,One mil spec. anodized AN-8 outlet fitting,One mil spec. anodized AN-8 vent fitting,360 degree mounting strap recesses,Seamless cross linked polyethylene outer shell.  Available with or without aviation safety foam.  Available in natural colored material for a nominal fee.  D-ring bail handle cap assembly.  One mil spec. anodized AN-8 outlet fitting.  Pickup hose routed to right rear corner.  One mil spec. anodized AN-8 vent fitting.  360 degree mounting strap recesses.  One AN-8 tip over vent.,|,,20000801.jpg,,,,,,,,,Circle Track,,,,,,10 Gallon,Black,No Foam,,,,,25'',9'',12'',
JAZ,,JAZ200-010-NF5,Fuel Cell,Fuel Systems.Fuel Cells,Seamless cross linked polyethylene outer shell,D-Ring bail handle cap assembly,One mil spec. anodized AN-8 outlet fitting,One mil spec. anodized AN-8 vent fitting,360 degree mounting strap recesses,Seamless cross linked polyethylene outer shell.  Available with or without aviation safety foam.  Available in natural colored material for a nominal fee.  D-ring bail handle cap assembly.  One mil spec. anodized AN-8 outlet fitting.  Pickup hose routed to right rear corner.  One mil spec. anodized AN-8 vent fitting.  360 degree mounting strap recesses.  One AN-8 tip over vent.,|,,20000801.jpg,,,,,,,,,Circle Track,,,,,,10 Gallon,Natural,No Foam,,,,,25'',9'',12'',
JAZ,,JAZ200-012-01,Fuel Cell,Fuel Systems.Fuel Cells,Seamless cross linked polyethylene outer shell,D-Ring bail handle cap assembly,One mil spec. anodized AN-8 outlet fitting,One mil spec. anodized AN-8 vent fitting,360 degree mounting strap recesses,Seamless cross linked polyethylene outer shell.  Available with or without aviation safety foam.  Available in natural colored material for a nominal fee.  D-ring bail handle cap assembly.  One mil spec. anodized AN-8 outlet fitting.  Pickup hose routed to right rear corner.  One mil spec. anodized AN-8 vent fitting.  360 degree mounting strap recesses.  One AN-8 tip over vent.,|,,20000801.jpg,,,,,,,,,Circle Track,,,,,,12 Gallon,Black,w/Foam,,,,,17.5'',16'',10'',
JAZ,,JAZ200-012-05,Fuel Cell,Fuel Systems.Fuel Cells,Seamless cross linked polyethylene outer shell,D-Ring bail handle cap assembly,One mil spec. anodized AN-8 outlet fitting,One mil spec. anodized AN-8 vent fitting,360 degree mounting strap recesses,Seamless cross linked polyethylene outer shell.  Available with or without aviation safety foam.  Available in natural colored material for a nominal fee.  D-ring bail handle cap assembly.  One mil spec. anodized AN-8 outlet fitting.  Pickup hose routed to right rear corner.  One mil spec. anodized AN-8 vent fitting.  360 degree mounting strap recesses.  One AN-8 tip over vent.,|,,20000801.jpg,,,,,,,,,Circle Track,,,,,,12 Gallon,Natural,w/Foam,,,,,17.5'',16'',10'',
JAZ,,JAZ200-012-NF,Fuel Cell,Fuel Systems.Fuel Cells,Seamless cross linked polyethylene outer shell,D-Ring bail handle cap assembly,One mil spec. anodized AN-8 outlet fitting,One mil spec. anodized AN-8 vent fitting,360 degree mounting strap recesses,Seamless cross linked polyethylene outer shell.  Available with or without aviation safety foam.  Available in natural colored material for a nominal fee.  D-ring bail handle cap assembly.  One mil spec. anodized AN-8 outlet fitting.  Pickup hose routed to right rear corner.  One mil spec. anodized AN-8 vent fitting.  360 degree mounting strap recesses.  One AN-8 tip over vent.,|,,20000801.jpg,,,,,,,,,Circle Track,,,,,,12 Gallon,Black,No Foam,,,,,17.5'',16'',10'',
JAZ,,JAZ200-012-NF5,Fuel Cell,Fuel Systems.Fuel Cells,Seamless cross linked polyethylene outer shell,D-Ring bail handle cap assembly,One mil spec. anodized AN-8 outlet fitting,One mil spec. anodized AN-8 vent fitting,360 degree mounting strap recesses,Seamless cross linked polyethylene outer shell.  Available with or without aviation safety foam.  Available in natural colored material for a nominal fee.  D-ring bail handle cap assembly.  One mil spec. anodized AN-8 outlet fitting.  Pickup hose routed to right rear corner.  One mil spec. anodized AN-8 vent fitting.  360 degree mounting strap recesses.  One AN-8 tip over vent.,|,,20000801.jpg,,,,,,,,,Circle Track,,,,,,12 Gallon,Natural,No Foam,,,,,17.5'',16'',10'',
JAZ,,JAZ200-016-01,Fuel Cell,Fuel Systems.Fuel Cells,Seamless cross linked polyethylene outer shell,D-Ring bail handle cap assembly,One mil spec. anodized AN-8 outlet fitting,One mil spec. anodized AN-8 vent fitting,360 degree mounting strap recesses,Seamless cross linked polyethylene outer shell.  Available with or without aviation safety foam.  Available in natural colored material for a nominal fee.  D-ring bail handle cap assembly.  One mil spec. anodized AN-8 outlet fitting.  Pickup hose routed to right rear corner.  One mil spec. anodized AN-8 vent fitting.  360 degree mounting strap recesses.  One AN-8 tip over vent.,|,,20000801.jpg,,,,,,,,,Circle Track,,,,,,16 Gallon,Black,w/Foam,,,,,25'',17'',10'',
JAZ,,JAZ200-016-05,Fuel Cell,Fuel Systems.Fuel Cells,Seamless cross linked polyethylene outer shell,D-Ring bail handle cap assembly,One mil spec. anodized AN-8 outlet fitting,One mil spec. anodized AN-8 vent fitting,360 degree mounting strap recesses,Seamless cross linked polyethylene outer shell.  Available with or without aviation safety foam.  Available in natural colored material for a nominal fee.  D-ring bail handle cap assembly.  One mil spec. anodized AN-8 outlet fitting.  Pickup hose routed to right rear corner.  One mil spec. anodized AN-8 vent fitting.  360 degree mounting strap recesses.  One AN-8 tip over vent.,|,,20000801.jpg,,,,,,,,,Circle Track,,,,,,16 Gallon,Natural,w/Foam,,,,,25'',17'',10'',
JAZ,,JAZ200-016-NF,Fuel Cell,Fuel Systems.Fuel Cells,Seamless cross linked polyethylene outer shell,D-Ring bail handle cap assembly,One mil spec. anodized AN-8 outlet fitting,One mil spec. anodized AN-8 vent fitting,360 degree mounting strap recesses,Seamless cross linked polyethylene outer shell.  Available with or without aviation safety foam.  Available in natural colored material for a nominal fee.  D-ring bail handle cap assembly.  One mil spec. anodized AN-8 outlet fitting.  Pickup hose routed to right rear corner.  One mil spec. anodized AN-8 vent fitting.  360 degree mounting strap recesses.  One AN-8 tip over vent.,|,,20000801.jpg,,,,,,,,,Circle Track,,,,,,16 Gallon,Black,No Foam,,,,,25'',17'',10'',
JAZ,,JAZ200-016-NF5,Fuel Cell,Fuel Systems.Fuel Cells,Seamless cross linked polyethylene outer shell,D-Ring bail handle cap assembly,One mil spec. anodized AN-8 outlet fitting,One mil spec. anodized AN-8 vent fitting,360 degree mounting strap recesses,Seamless cross linked polyethylene outer shell.  Available with or without aviation safety foam.  Available in natural colored material for a nominal fee.  D-ring bail handle cap assembly.  One mil spec. anodized AN-8 outlet fitting.  Pickup hose routed to right rear corner.  One mil spec. anodized AN-8 vent fitting.  360 degree mounting strap recesses.  One AN-8 tip over vent.,|,,20000801.jpg,,,,,,,,,Circle Track,,,,,,16 Gallon,Natural,No Foam,,,,,25'',17'',10'',
JAZ,,JAZ200-022-01,Fuel Cell,Fuel Systems.Fuel Cells,Seamless cross linked polyethylene outer shell,D-Ring bail handle cap assembly,One mil spec. anodized AN-8 outlet fitting,One mil spec. anodized AN-8 vent fitting,360 degree mounting strap recesses,Seamless cross linked polyethylene outer shell.  Available with or without aviation safety foam.  Available in natural colored material for a nominal fee.  D-ring bail handle cap assembly.  One mil spec. anodized AN-8 outlet fitting.  Pickup hose routed to right rear corner.  One mil spec. anodized AN-8 vent fitting.  360 degree mounting strap recesses.  One AN-8 tip over vent.,|,,20000801.jpg,,,,,,,,,Circle Track,,,,,,22 Gallon,Black,w/Foam,,,,,25'',25'',9'',
JAZ,,JAZ200-022-05,Fuel Cell,Fuel Systems.Fuel Cells,Seamless cross linked polyethylene outer shell,D-Ring bail handle cap assembly,One mil spec. anodized AN-8 outlet fitting,One mil spec. anodized AN-8 vent fitting,360 degree mounting strap recesses,Seamless cross linked polyethylene outer shell.  Available with or without aviation safety foam.  Available in natural colored material for a nominal fee.  D-ring bail handle cap assembly.  One mil spec. anodized AN-8 outlet fitting.  Pickup hose routed to right rear corner.  One mil spec. anodized AN-8 vent fitting.  360 degree mounting strap recesses.  One AN-8 tip over vent.,|,,20000801.jpg,,,,,,,,,Circle Track,,,,,,22 Gallon,Natural,w/Foam,,,,,25'',25'',9'',
JAZ,,JAZ200-022-NF,Fuel Cell,Fuel Systems.Fuel Cells,Seamless cross linked polyethylene outer shell,D-Ring bail handle cap assembly,One mil spec. anodized AN-8 outlet fitting,One mil spec. anodized AN-8 vent fitting,360 degree mounting strap recesses,Seamless cross linked polyethylene outer shell.  Available with or without aviation safety foam.  Available in natural colored material for a nominal fee.  D-ring bail handle cap assembly.  One mil spec. anodized AN-8 outlet fitting.  Pickup hose routed to right rear corner.  One mil spec. anodized AN-8 vent fitting.  360 degree mounting strap recesses.  One AN-8 tip over vent.,|,,20000801.jpg,,,,,,,,,Circle Track,,,,,,22 Gallon,Black,No Foam,,,,,25'',25'',9'',
JAZ,,JAZ200-022-NF5,Fuel Cell,Fuel Systems.Fuel Cells,Seamless cross linked polyethylene outer shell,D-Ring bail handle cap assembly,One mil spec. anodized AN-8 outlet fitting,One mil spec. anodized AN-8 vent fitting,360 degree mounting strap recesses,Seamless cross linked polyethylene outer shell.  Available with or without aviation safety foam.  Available in natural colored material for a nominal fee.  D-ring bail handle cap assembly.  One mil spec. anodized AN-8 outlet fitting.  Pickup hose routed to right rear corner.  One mil spec. anodized AN-8 vent fitting.  360 degree mounting strap recesses.  One AN-8 tip over vent.,|,,20000801.jpg,,,,,,,,,Circle Track,,,,,,22 Gallon,Natural,No Foam,,,,,25'',25'',9'',
JAZ,,JAZ200-032-01,Fuel Cell,Fuel Systems.Fuel Cells,Seamless cross linked polyethylene outer shell,D-Ring bail handle cap assembly,One mil spec. anodized AN-8 outlet fitting,One mil spec. anodized AN-8 vent fitting,360 degree mounting strap recesses,Seamless cross linked polyethylene outer shell.  Available with or without aviation safety foam.  Available in natural colored material for a nominal fee.  D-ring bail handle cap assembly.  One mil spec. anodized AN-8 outlet fitting.  Pickup hose routed to right rear corner.  One mil spec. anodized AN-8 vent fitting.  360 degree mounting strap recesses.  One AN-8 tip over vent.,|,,20000801.jpg,,,,,,,,,Circle Track,,,,,,32 Gallon,Black,w/Foam,,,,,33'',17'',14'',
JAZ,,JAZ200-032-05,Fuel Cell,Fuel Systems.Fuel Cells,Seamless cross linked polyethylene outer shell,D-Ring bail handle cap assembly,One mil spec. anodized AN-8 outlet fitting,One mil spec. anodized AN-8 vent fitting,360 degree mounting strap recesses,Seamless cross linked polyethylene outer shell.  Available with or without aviation safety foam.  Available in natural colored material for a nominal fee.  D-ring bail handle cap assembly.  One mil spec. anodized AN-8 outlet fitting.  Pickup hose routed to right rear corner.  One mil spec. anodized AN-8 vent fitting.  360 degree mounting strap recesses.  One AN-8 tip over vent.,|,,20000801.jpg,,,,,,,,,Circle Track,,,,,,32 Gallon,Natural,w/Foam,,,,,33'',17'',14'',
JAZ,,JAZ200-032-NF,Fuel Cell,Fuel Systems.Fuel Cells,Seamless cross linked polyethylene outer shell,D-Ring bail handle cap assembly,One mil spec. anodized AN-8 outlet fitting,One mil spec. anodized AN-8 vent fitting,360 degree mounting strap recesses,Seamless cross linked polyethylene outer shell.  Available with or without aviation safety foam.  Available in natural colored material for a nominal fee.  D-ring bail handle cap assembly.  One mil spec. anodized AN-8 outlet fitting.  Pickup hose routed to right rear corner.  One mil spec. anodized AN-8 vent fitting.  360 degree mounting strap recesses.  One AN-8 tip over vent.,|,,20000801.jpg,,,,,,,,,Circle Track,,,,,,32 Gallon,Black,No Foam,,,,,33'',17'',14'',
JAZ,,JAZ200-032-NF5,Fuel Cell,Fuel Systems.Fuel Cells,Seamless cross linked polyethylene outer shell,D-Ring bail handle cap assembly,One mil spec. anodized AN-8 outlet fitting,One mil spec. anodized AN-8 vent fitting,360 degree mounting strap recesses,Seamless cross linked polyethylene outer shell.  Available with or without aviation safety foam.  Available in natural colored material for a nominal fee.  D-ring bail handle cap assembly.  One mil spec. anodized AN-8 outlet fitting.  Pickup hose routed to right rear corner.  One mil spec. anodized AN-8 vent fitting.  360 degree mounting strap recesses.  One AN-8 tip over vent.,|,,20000801.jpg,,,,,,,,,Circle Track,,,,,,32 Gallon,Natural,No Foam,,,,,33'',17'',14'',
JAZ,,JAZ200-116-01,Fuel Cell,Fuel Systems.Fuel Cells,Seamless cross linked polyethylene outer shell,D-Ring bail handle cap assembly,One mil spec. anodized AN-8 outlet fitting,One mil spec. anodized AN-8 vent fitting,360 degree mounting strap recesses,Seamless cross linked polyethylene outer shell.  Available with or without aviation safety foam.  Available in natural colored material for a nominal fee.  D-ring bail handle cap assembly.  One mil spec. anodized AN-8 outlet fitting.  Pickup hose routed to right rear corner.  One mil spec. anodized AN-8 vent fitting.  360 degree mounting strap recesses.  One AN-8 tip over vent.,|,,20000801.jpg,,,,,,,,,Circle Track,,,,,,16 Gallon,Black,w/Foam,,,,,18.5'',18.5'',12'',
JAZ,,JAZ200-116-05,Fuel Cell,Fuel Systems.Fuel Cells,Seamless cross linked polyethylene outer shell,D-Ring bail handle cap assembly,One mil spec. anodized AN-8 outlet fitting,One mil spec. anodized AN-8 vent fitting,360 degree mounting strap recesses,Seamless cross linked polyethylene outer shell.  Available with or without aviation safety foam.  Available in natural colored material for a nominal fee.  D-ring bail handle cap assembly.  One mil spec. anodized AN-8 outlet fitting.  Pickup hose routed to right rear corner.  One mil spec. anodized AN-8 vent fitting.  360 degree mounting strap recesses.  One AN-8 tip over vent.,|,,20000801.jpg,,,,,,,,,Circle Track,,,,,,16 Gallon,Natural,w/Foam,,,,,18.5'',18.5'',12'',
JAZ,,JAZ200-116-NF,Fuel Cell,Fuel Systems.Fuel Cells,Seamless cross linked polyethylene outer shell,D-Ring bail handle cap assembly,One mil spec. anodized AN-8 outlet fitting,One mil spec. anodized AN-8 vent fitting,360 degree mounting strap recesses,Seamless cross linked polyethylene outer shell.  Available with or without aviation safety foam.  Available in natural colored material for a nominal fee.  D-ring bail handle cap assembly.  One mil spec. anodized AN-8 outlet fitting.  Pickup hose routed to right rear corner.  One mil spec. anodized AN-8 vent fitting.  360 degree mounting strap recesses.  One AN-8 tip over vent.,|,,20000801.jpg,,,,,,,,,Circle Track,,,,,,16 Gallon,Black,No Foam,,,,,18.5'',18.5'',12'',
JAZ,,JAZ200-116-NF5,Fuel Cell,Fuel Systems.Fuel Cells,Seamless cross linked polyethylene outer shell,D-Ring bail handle cap assembly,One mil spec. anodized AN-8 outlet fitting,One mil spec. anodized AN-8 vent fitting,360 degree mounting strap recesses,Seamless cross linked polyethylene outer shell.  Available with or without aviation safety foam.  Available in natural colored material for a nominal fee.  D-ring bail handle cap assembly.  One mil spec. anodized AN-8 outlet fitting.  Pickup hose routed to right rear corner.  One mil spec. anodized AN-8 vent fitting.  360 degree mounting strap recesses.  One AN-8 tip over vent.,|,,20000801.jpg,,,,,,,,,Circle Track,,,,,,16 Gallon,Natural,No Foam,,,,,18.5'',18.5'',12'',
JAZ,,JAZ200-122-01,Fuel Cell,Fuel Systems.Fuel Cells,Seamless cross linked polyethylene outer shell,D-Ring bail handle cap assembly,One mil spec. anodized AN-8 outlet fitting,One mil spec. anodized AN-8 vent fitting,360 degree mounting strap recesses,Seamless cross linked polyethylene outer shell.  Available with or without aviation safety foam.  Available in natural colored material for a nominal fee.  D-ring bail handle cap assembly.  One mil spec. anodized AN-8 outlet fitting.  Pickup hose routed to right rear corner.  One mil spec. anodized AN-8 vent fitting.  360 degree mounting strap recesses.  One AN-8 tip over vent.,|,,20000801.jpg,,,,,,,,,Circle Track,,,,,,22 Gallon,Black,w/Foam,,,,,33'',17'',10'',
